,Open,High,Low,Close,LGR
2008-02-04,101.19242700151116,101.25784577468254,100.05118108609078,100.1820297241211,-0.01269
2008-02-05,98.81545966004995,99.04079841755909,97.16538233486976,97.49976348876953,-0.02714
2008-02-06,97.82689326540573,98.31391836920764,96.249510471742,96.71472930908203,-0.00808
2008-02-07,95.80607018779875,97.97950878888037,95.75518151964654,97.3543701171875,0.00659
2008-02-08,96.74374763785057,97.56515353025743,96.02411905543514,96.72921752929688,-0.00644
2008-02-11,96.75101190463891,97.5724066045083,95.98048367014798,97.22349548339844,0.0051
2008-02-12,98.0667470922763,99.08440956096263,97.39071973746472,98.1249008178711,0.00923
2008-02-13,98.86632741387128,99.62957974600363,98.23392372606725,99.12801361083984,0.01017
2008-02-14,99.54963491270713,99.58598238008891,97.97951749200821,98.25574493408203,-0.00884
2008-02-15,97.76872137353944,98.2920938548445,97.33985009048637,98.23394012451172,-0.00022
2008-02-19,99.38248456368568,99.50605712256673,97.84871407498356,98.51020050048828,0.00281
2008-02-20,97.39798232018302,99.25885691328351,97.23078622300115,98.8009033203125,0.00295
2008-02-21,99.33882716350789,99.59323722571646,97.45614611807213,97.97950744628906,-0.00835
2008-02-22,98.1103713984698,98.75005136516123,96.5766013632004,98.58285522460938,0.00614
2008-02-25,98.52470804542673,100.05847818271528,97.97226418670478,99.82587432861328,0.01253
2008-02-26,99.40422966275055,101.00341797646475,99.22250346592651,100.57454681396484,0.00747
2008-02-27,99.99304888137362,101.14156009923705,99.88401756929701,100.47280883789062,-0.00101
2008-02-28,99.76047859298349,100.28385125029845,99.25891220541553,99.49151611328125,-0.00981
2008-02-29,98.56834248531257,98.62648513645144,96.51846464435961,97.27445220947266,-0.02254
2008-03-03,96.78011525224298,97.26714019070306,96.12590529710275,97.04180145263672,-0.00239
2008-03-04,96.11861916364528,96.9690964536449,95.21726430502369,96.67107391357422,-0.00383
2008-03-05,96.98364359608011,97.96496957863711,96.19858502837208,97.28167724609375,0.0063
2008-03-06,96.66382182900023,96.83828301846158,94.89744803892461,95.2681655883789,-0.02091
2008-03-07,94.33043960100952,95.76244295344284,93.46542110884361,94.28682708740234,-0.01035
2008-03-10,94.38132553928881,94.44674431550084,92.74578958385973,93.0438232421875,-0.01327
2008-03-11,95.02103390500581,96.47484407969478,93.73440879473249,96.38761901855469,0.03531
2008-03-12,96.48937668207623,97.23808796793476,95.3408654154946,95.48624420166016,-0.0094
2008-03-13,94.21417798910389,96.41669973090723,93.48000777240027,95.69705963134766,0.00221
2008-03-14,96.51117174160362,96.54024305878573,92.8839121073114,94.21414947509766,-0.01562
2008-03-17,92.00434639873703,93.95971666887895,91.64089397470065,93.26189422607422,-0.01016
2008-03-18,94.94833825551437,97.17994218112554,94.48311944673134,97.1363296508789,0.0407
2008-03-19,97.50700261300784,97.87772004208895,94.5266887046443,94.73023223876953,-0.02508
2008-03-20,95.00198776073482,97.09122833439463,94.42488372110112,96.48490905761719,0.01835
2008-03-24,97.38343178214193,99.20969075681745,97.3323023270831,98.41344451904297,0.01979
2008-03-25,98.51570861545434,99.0197578454253,97.71946242585362,98.50840759277344,0.00096
2008-03-26,98.22350396829877,98.6837135863671,97.23731980018347,97.30306243896484,-0.01231
2008-03-27,98.03355217910085,98.20887700452872,96.68942862394515,96.9962387084961,-0.00316
2008-03-28,97.14970375249248,97.41998658984812,95.73982563128958,96.06855010986328,-0.00961
2008-03-31,95.90783082469437,96.9597579905108,95.76173230646486,96.40457916259766,0.00349
2008-04-01,97.60260200963026,99.96212589292988,97.52954717933777,99.79411315917969,0.03456
2008-04-02,100.11549816620645,100.56840672976483,99.33385413906117,99.85981750488281,0.00066
2008-04-03,99.31929633725817,100.40043878343853,99.13667039684785,100.10823059082031,0.00248
2008-04-04,100.16665468247022,100.78028620617306,99.43615104879619,99.99864196777344,-0.0011
2008-04-07,100.71450090906322,101.22586220998645,99.88903964086482,100.04975128173828,0.00051
2008-04-08,99.48730411066134,100.02056870896699,99.31197920385024,99.94752502441406,-0.00102
2008-04-09,99.79407308940442,99.9328705232683,98.53760630977024,99.22428131103516,-0.00726
2008-04-10,98.92481433361661,99.83794400123594,98.54494927083829,99.36312103271484,0.0014
2008-04-11,98.24543741876944,98.70564712695192,97.16428401853568,97.43457794189453,-0.0196
2008-04-14,97.29576538011322,97.55143492354374,96.82824357429267,97.10582733154297,-0.00338
2008-04-15,97.58069740930182,97.66105327190415,96.66756767364052,97.33232879638672,0.00233
2008-04-16,98.28199372359643,100.0132956153782,98.26739167056925,99.96946716308594,0.02673
2008-04-17,99.36313673626648,100.26165335015864,99.10015490456584,100.11555480957031,0.00146
2008-04-18,101.4961852250031,101.94909394925044,100.9994369158851,101.16014862060547,0.01038
2008-04-21,100.97751430926822,101.52539203532433,100.69993050775504,101.2112808227539,0.00051
2008-04-22,100.94831961039878,101.03597649749283,100.00596348772532,100.76569366455078,-0.00441
2008-04-23,100.8752709476296,101.37932037247765,100.16668134264089,100.60498809814453,-0.0016
2008-04-24,100.86794903057195,102.08058780924955,100.10821896459981,101.04327392578125,0.00435
2008-04-25,101.83219999032401,102.19015077627091,100.74375673226207,101.97830963134766,0.00921
2008-04-28,102.18287008163645,102.45315290742047,101.81761819961355,102.000244140625,0.00022
2008-04-29,101.82491170309628,102.0732802893412,101.25511970095695,101.59845733642578,-0.00395
2008-04-30,101.7518533282502,102.70151034759553,100.99943542480469,100.99943542480469,-0.00591
2008-05-01,101.0871334147582,103.08870697021484,101.00677753976217,103.08870697021484,0.02047
2008-05-02,103.97988503021665,104.00179924760171,102.67958944789939,103.37356567382812,0.00276
2008-05-05,103.03754275048973,103.44662301376772,102.57002085722901,102.8768310546875,-0.00482
2008-05-06,102.28511451127996,103.87760696715894,102.04404699200836,103.76803588867188,0.00863
2008-05-07,103.65115848658073,103.76072957124771,101.63497250250344,101.91986846923828,-0.01797
2008-05-08,102.08059198600914,102.50428547348312,101.52540203509746,101.65689849853516,-0.00258
2008-05-09,101.2478377434559,101.82493087859658,101.13825547834537,101.46697998046875,-0.00187
2008-05-12,101.72266801858561,102.6796263435981,101.3428028697469,102.60658264160156,0.01117
2008-05-13,102.85492896203979,102.92067162354515,102.07328460880122,102.62116241455078,0.00014
2008-05-14,103.05217644066141,103.87763815516568,102.60656867669223,102.83302307128906,0.00206
2008-05-15,103.03022842553871,104.1917376839291,102.87682890331796,104.11868286132812,0.01242
2008-05-16,104.35975206538563,104.36705308912187,103.4466225013061,104.21365356445312,0.00091
2008-05-19,104.32318744152492,105.41164150643365,103.95063472504606,104.4985122680664,0.00273
2008-05-20,103.92873319490684,103.97986264226294,103.00099065448903,103.65113830566406,-0.00814
2008-05-21,103.5926962293794,103.81915052366132,101.53998324366466,101.89793395996094,-0.01706
2008-05-22,101.8541331301195,102.39470992117633,101.54002186608292,101.9125747680664,0.00014
2008-05-23,101.57654459867871,102.02215231419622,100.45887479766961,100.5465316772461,-0.01349
2008-05-27,100.663362142833,101.53996391856609,100.46612312064923,101.29159545898438,0.00738
2008-05-28,101.66423959298523,102.27055924610849,100.80955125687836,101.75920867919922,0.00461
2008-05-29,101.63495805975316,102.9498554753073,101.5984306545213,102.27049255371094,0.00501
2008-05-30,102.6138485824923,102.81108768899306,102.22668253981371,102.52619171142578,0.0025
